Автор;Страница в Википедии;страница в lib.ru;произведение ;год написания;страница в Википедии
Гарин-Михайловский, Николай Георгиевич;https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D1%80%D0%B8%D0%BD-%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%B8%D1%87;http://az.lib.ru/g/garinmihajlowskij_n/;Детство Темы;1892;
;;;Гимназисты;1895;
;;;Студенты;1895;
;;;Инженеры;1906;
Мамин-Сибиряк, Дмитрий Наркисович;https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BC%D0%B8%D0%BD-%D0%A1%D0%B8%D0%B1%D0%B8%D1%80%D1%8F%D0%BA,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%9D%D0%B0%D1%80%D0%BA%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87;http://az.lib.ru/m/maminsibirjak_d/;Приваловские миллионы;1883;https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%B2%D0%B0%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B5_%D0%BC%D0%B8%D0%BB%D0%BB%D0%B8%D0%BE%D0%BD%D1%8B_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Золото;1892;
;;;Три конца;1890;
;;;Хлеб;1895;
Гаршин, Всеволод Михайлович;https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D1%80%D1%88%D0%B8%D0%BD,_%D0%92%D1%81%D0%B5%D0%B2%D0%BE%D0%BB%D0%BE%D0%B4_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87;http://az.lib.ru/g/garshin_w_m/;Красный цветок;1883;
;;;Очень коротенький роман;1878;
;;;Трус;1878;
Короленко, Владимир Галактионович;https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%93%D0%B0%D0%BB%D0%B0%D0%BA%D1%82%D0%B8%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87;http://az.lib.ru/k/korolenko_w_g/;В дурном обществе;1881-1884;https://ru.wikipedia.org/wiki/%D0%92_%D0%B4%D1%83%D1%80%D0%BD%D0%BE%D0%BC_%D0%BE%D0%B1%D1%89%D0%B5%D1%81%D1%82%D0%B2%D0%B5
;;;Сон Макара;1885;
;;;Слепой музыкант;1886;
Горький, Максим;https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D1%81%D0%B8%D0%BC_%D0%93%D0%BE%D1%80%D1%8C%D0%BA%D0%B8%D0%B9;http://az.lib.ru/g/gorxkij_m/;Мать;1906;https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%82%D1%8C_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Мои университеты;1923;
;;;Дело Артамоновых;1925;https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%BB%D0%BE_%D0%90%D1%80%D1%82%D0%B0%D0%BC%D0%BE%D0%BD%D0%BE%D0%B2%D1%8B%D1%85_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Жизнь Клима Самгина;1925 - 1936;https://ru.wikipedia.org/wiki/%D0%96%D0%B8%D0%B7%D0%BD%D1%8C_%D0%9A%D0%BB%D0%B8%D0%BC%D0%B0_%D0%A1%D0%B0%D0%BC%D0%B3%D0%B8%D0%BD%D0%B0
Крюков, Федор Дмитриевич;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%8E%D0%BA%D0%BE%D0%B2,_%D0%A4%D1%91%D0%B4%D0%BE%D1%80_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2%D0%B8%D1%87;http://az.lib.ru/k/krjukow_f_d/;Гулебщики;1892;
;;;Казачка;1896;
;;;На тихом Дону;1898;
